#Avg |Bx| across y-z plane in magnetotail
#FORMAT:
YEAR    DAY    HOUR    MIN    x:-12.00    -11.00      -10.00       -9.00       -8.00       -7.00       -6.00       -5.00       -4.00       -3.00      
2018      238         1       15               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         1       20               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         1       25               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         1       30               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         1       35               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         1       40               12.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         1       45               12.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         1       50               12.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         1       55               12.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2        0               12.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2        5               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         2       10               12.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       15               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         2       20               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       25               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       30               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       35               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       40               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       45               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       50               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         2       55               11.           14.           17.           21.           27.           36.           52.           78.          121.          194.  
2018      238         3        0               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3        5               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       10               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       15               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       20               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       25               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         3       30               11.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
