#  Format: 
#    1) Maximal reconnection rate at closest pressure dip 
#   2) Distance from earth 
#   3) Rate from critical 
#   4) Distance from critical
440.2349 4.8803 196.3404 5.0458
198.0004 5.1282 38.2895 5.2002
12955.7199 5.4934 72.9878 5.4472
2.9897 7.2878 0.7917 6.2321
198.2359 5.0453 42.1478 5.2504
1066.6406 5.4154 93.0344 5.4008
18.9085 7.2994 2.2527 6.1883
595.9899 4.9971 138.8757 5.1963
78.7851 6.0251 44.1720 6.1451
19.7192 5.9228 1.5807 5.8655
129.7490 5.3142 41.1520 5.4008
521.1250 5.6665 41.1254 5.6015
602.9841 5.3233 94.4900 5.3049
96498.8570 5.3182 100.1203 5.3435
4878.2782 5.2400 95.6378 5.2933
143.3034 5.1549 74.6073 5.3005
155.7740 5.1438 69.7596 5.2966
1065.8291 5.4904 234.6795 5.5267
184.3680 5.1282 37.6593 5.3005
3.6933 7.2708 1.3477 6.0708
4.0542 7.2825 2.6627 6.0157
502.3557 5.4222 419.2921 5.4707
333.5139 5.9758 96.8061 5.9823
178.5898 5.1726 58.6392 5.2966
80.2846 5.5967 9.2689 5.5601
180.5167 5.1008 97.6534 5.2465
1509.3041 5.2272 83.5800 5.2904
201.3640 5.0679 90.0095 5.2504
94.5608 5.4770 30.3073 5.4552
185.8701 5.1152 45.9890 5.3005
75.9553 5.6259 20.5963 5.5601
132.6607 5.3623 26.8791 5.4008
310.0820 4.9537 217.3613 5.0959
89.6695 5.5483 9.7935 5.5100
1069.9494 5.3286 119.3293 5.3208
70.1633 5.5920 19.0879 5.5601
544.3817 5.6028 257.5626 5.7394
345.9926 5.7639 33.0023 5.4974
448.8829 5.7319 1179.6010 5.3708
4.2823 7.2596 2.2196 6.0208
104.4519 5.8994 22.5626 5.7826
1436.3910 4.9882 204.3459 5.1461
434.5202 4.9492 158.7958 5.1501
